ID,title,authors,year,venue,url,paper_or_abstract,system_scope,heterogeneity,resource_types,workload_type,task_dependencies,dynamic_workload,addresses_mapping,addresses_scheduling,mapping_scheduling,solver_class,specific_method,algorithm_strategy,hybrid_approach,makespan,utilization,energy,cost,load_balance,throughput,latency,deadline,reliability,security,single_multi_obj,assignment,capacity,feature,precedence,communication,max_tasks,max_resources,eval_type,benchmark,baselines,reproducible,extraction_source,confidence,abstract_length,abstract_preview
1,Workflow-Driven Modeling for the Compute Continuum: An Optimization Approach to Automated System and Workload Scheduling,"AK Sharma, C Boehme, P Gelß, R Yahyapour",2025.0,arXiv preprint arXiv …,https://arxiv.org/abs/2505.12184,paper,Hybrid,Hetero,"CPU,GPU,FPGA",Workflow/DAG,Y,Dynamic,Y,Y,Joint,Exact/Heuristic/Metaheuristic,"MILP, CP-SAT, HEFT, GA, ACO, SA, OLB","Constructive/Priority, Population-based, Learning-based, Mathematical, Quantum",Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Multi,Y,Y,Y,Y,Y,20,8,Simulation,"SPEC, STG",Unknown,Unknown,full-knowledge,high,165,The defined system and workload models enable analysis of workload mapping and  scheduling within heterogeneous HPC environments. Tasks in the queue request specific
2,Optimizing Heterogeneous High-Performance Computing Resource Allocation for Optimal Performance in Advanced Seismic Imaging Algorithms,"A Aldarwish, S Abulleif",2025.0,SPE Middle East Oil and Gas Show and …,https://onepetro.org/SPEMEOS/proceedings-abstract/25MEOS/25MEOS/789782,abstract,HPC,Hetero,CPU,Workflow/DAG,N,Unknown,Y,Y,Joint,Exact,Exact/MILP,Learning-based,N,,Y,,,,Y,Y,,,Y,Multi,,,,N,,Unknown,20.0,Unknown,Unknown,Unknown,Unknown,title-only,low,178,This section presents the core resource allocation strategy developed to optimize workload  scheduling in heterogeneous HPC environments supporting seismic imaging workflows. The
3,"Evolving High-Performance Computing Data Centers with Kubernetes, Performance Analysis, and Dynamic Workload Placement Based on Machine Learning …","V Dakić, M Kovač, J Slovinac",2024.0,Electronics,https://www.mdpi.com/2079-9292/13/13/2651,paper,HPC,Hetero,Container,Batch/Container/DNN/Training/Workflow/DAG,N,Dynamic,Y,Y,Joint,ML/AI,ML,Learning-based,N,,Y,Y,Y,Y,,Y,Y,Y,Y,Multi,,Y,,N,Y,10.0,10.0,Experimental,SPEC,KUBERNETES,Unknown,full-text,high,1903,"In the past twenty years, the IT industry has moved away from using physical servers for workload management to workloads consolidated via virtualization and, in the next iteration, further consolidated into containers. Later, container workloads based on Docker and Podman were orchestrated via Kube"
4,Optimal task partitioning to minimize failure in heterogeneous computational platform,"DK Narayana, STS Babu",2025.0,International Journal of Electrical and …,https://www.academia.edu/download/120310525/96_35698_IJECE_12_Faizah.pdf,paper,HPC,Hetero,"CPU, GPU, VM",DNN/Training/Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Exact,Exact/MILP,"Constructive/Priority, Population-based, Learning-based, Mathematical",N,Y,Y,Y,Y,Y,,,Y,Y,,Single,,,,N,,Unknown,Unknown,Simulation/Trace-based,"CloudSim, CyberShake, SIPHT, SPEC",Unknown,Unknown,full-text,high,181,of workload scheduling techniques plays a critical role in achieving enhanced performance  on heterogeneous HPC  of limitations of existing workload scheduling methods. In section 3
5,Machine learning and dynamic parameters-based system architecture for automatic workload scheduling in heterogenous high-performance computing,V Dakić,2025.0,,https://dr.nsk.hr/object/fer:13461,paper,HPC,Hetero,"CPU, Container, FPGA, GPU",Batch/Container/DNN/Training,N,Dynamic,N,Y,Scheduling-only,ML/AI,ML,Learning-based,N,,Y,Y,Y,Y,,Y,,Y,,Multi,,,,N,Y,12.0,86.0,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,173,"Heterogeneous HPC can also employ different C ARM, and RISC -V. Integrating  In  summary, linear regression models have s workload scheduling, especially in workload plac of"
6,Scheduling algorithms on heterogeneous architecture for efficient vision systems,"T Ali, G Paul, R Nicol",2024.0,Applications of digital …,"https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13137/131370F/Scheduling-algorithms-on-heterogeneous-architecture-for-efficient-vision-systems/10.1117/12.3031278.short
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13137/131370F/Scheduling-algorithms-on-heterogeneous-architecture-for-efficient-vision-systems/10.1117/12.3031278.short",abstract,HPC,Hetero,"FPGA, GPU",Unknown,N,Unknown,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),Learning-based,N,,,Y,,,,,,Y,,Multi,,,,N,Y,Unknown,Unknown,Trace-based,SPEC,Unknown,Unknown,title-only,low,174,Another study addressed the problem of optimising data-parallel applications on  heterogeneous HPC platforms by proposing a modelbased partitioning algorithm that tackles the
7,Optimal workload scheduling algorithm for data-parallel applications on heterogeneous platforms based on dynamic programming,LL Pilla,2022.0,,https://inria.hal.science/hal-03776372/,paper,HPC,Hetero,Unknown,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Exact,Optimal scheduling,"Constructive/Priority, Population-based, Mathematical",N,Y,,Y,Y,Y,,,,,,Single,Y,,,N,,Unknown,Unknown,Trace-based,SPEC,Unknown,Unknown,full-text,high,182,"A novel data-partitioning algorithm for performance optimization of data-parallel applications  on heterogeneous hpc platforms. IEEE Transactions on Parallel and Distributed Systems,"
8,Microgrid Integration for High Performance Computing Schedulers and Reinforcement Learning-Based Scheduling,M Sgambati,2025.0,,https://search.proquest.com/openview/7bf9590debad376b9d44ab98905fe379/1?pq-origsite=gscholar&cbl=18750&diss=y,paper,HPC,Unknown,Unknown,Batch/Container/DNN/Training,N,Unknown,N,Y,Scheduling-only,ML/AI,RL,Learning-based,N,,Y,Y,Y,,Y,Y,,Y,,Single,,Y,,N,,10.0,1536.0,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,174,"Significant innovations in the field of High Performance Computing (HPC) have contributed  to application reproducibility and portability, enabled power-aware schedulers, and"
9,DASH: Scheduling deep learning workloads on multi-generational GPU-accelerated clusters,"B Li, T Patel, V Gadepally, K Gettings",2022.0,2022 IEEE High …,https://ieeexplore.ieee.org/abstract/document/9926390/,abstract,HPC,Hetero,GPU,Batch,N,Unknown,N,Y,Scheduling-only,ML/AI,DL,Learning-based,N,Y,,,,,,,,,Y,Multi,,,,N,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,partial-abstract,low,170,highend/low-end GPUs in a heterogeneous HPC system. DASH functions as depicted in  Fig to address deep learning workload scheduling challenges in heterogeneous tiered GPU
10,Thermal prediction for efficient energy management of clouds using machine learning,"S Ilager, K Ramamohanarao",2020.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9272657/,paper,Cloud/HPC,Hetero,"CPU, Container, FPGA, VM",Batch/Container,N,Dynamic,N,Y,Scheduling-only,ML/AI,ML,Learning-based,N,Y,Y,Y,Y,,,Y,Y,Y,Y,Single,,Y,,N,Y,Unknown,6320.0,Real-system/Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,178,We propose a dynamic workload scheduling algorithm guided by the prediction methods to  reduce the peak temperature of the data center that minimizes the total energy consumption
